fund_code,department_code,account_code,ordinance_amount,recommended_amount,fund_name,department_name,account_name,delta_amount,pct_change
0075,5,0005,1397580.0,1397580.0,Grants Management Fund,Office of Budget and Management,Salaries and Wages - on Payroll,0.0,0.0
0075,5,0006,0.0,0.0,Grants Management Fund,Office of Budget and Management,SALARY PROVISION,0.0,0.0
0075,5,0015,25730.0,25730.0,Grants Management Fund,Office of Budget and Management,Schedule Salary Adjustments,0.0,0.0
0075,5,0039,26108.0,26108.0,Grants Management Fund,Office of Budget and Management,For the Employment of Students as Trainees,0.0,0.0
0075,5,0044,832930.0,832930.0,Grants Management Fund,Office of Budget and Management,Fringe Benefits,0.0,0.0
0075,5,0140,508358.0,508358.0,Grants Management Fund,Office of Budget and Management,For Professional and Technical Services and Other Third Party Benefit Agreements,0.0,0.0
0075,5,0152,10000.0,10000.0,Grants Management Fund,Office of Budget and Management,Advertising,0.0,0.0
0075,5,0166,894.0,894.0,Grants Management Fund,Office of Budget and Management,"Dues, Subscriptions and Memberships",0.0,0.0
0075,5,0169,10000.0,10000.0,Grants Management Fund,Office of Budget and Management,Technical Meeting Costs,0.0,0.0
0075,5,0190,0.0,0.0,Grants Management Fund,Office of Budget and Management,TELEPHONE - CENTREX BILLINGS,0.0,0.0
0075,5,0245,5400.0,5400.0,Grants Management Fund,Office of Budget and Management,Reimbursement to Travelers,0.0,0.0
0075,5,0350,5000.0,5000.0,Grants Management Fund,Office of Budget and Management,Stationery and Office Supplies,0.0,0.0
0075,21,0005,466159.0,466159.0,Grants Management Fund,Department of Housing,Salaries and Wages - on Payroll,0.0,0.0
0075,21,0006,358.0,358.0,Grants Management Fund,Department of Housing,Salary Provision,0.0,0.0
0075,21,0015,15997.0,15997.0,Grants Management Fund,Department of Housing,Schedule Salary Adjustments,0.0,0.0
0075,21,0044,277821.0,277821.0,Grants Management Fund,Department of Housing,Fringe Benefits,0.0,0.0
0075,27,0005,1297067.0,1297067.0,Grants Management Fund,Department of Finance,Salaries and Wages - on Payroll,0.0,0.0
